CONCISE NET LIST - 1  
ADUC_RD_3.3V*            TP31             1        TESTPOINT-359-537-00,DTG
ADUC_WR_3.3V*            GA1              16       SMC_FPGA-734-220-50,DTG
ADUC_WR_3.3V*            RN6              15       8RES-636-413-04,DTG
ADUC_WR_3.3V*            TP32             1        TESTPOINT-359-537-00,DTG
ALE_3.3V                 GA1              129      SMC_FPGA-734-220-50,DTG
ALE_3.3V                 RN7              13       8RES-636-413-04,DTG
EX_LONBUS_CONTROL        GA1              102      SMC_FPGA-734-220-50,DTG
EX_LONBUS_CONTROL        TP47             1        TESTPOINT-359-537-00,DTG
EX_LONBUS_DATA           GA1              103      SMC_FPGA-734-220-50,DTG
EX_LONBUS_DATA           TP46             1        TESTPOINT-359-537-00,DTG
GND0                     C1               1        CAP-111-479-00,DTG
GND0                     C2               1        CAP-111-479-00,DTG
GND0                     C3               2        CAP-111-479-00,DTG
GND0                     C4               2        POLCAP-111-656-00,DTG
GND0                     C5               2        POLCAP-111-656-00,DTG
GND0                     C6               2        CAP-111-479-00,DTG
GND0                     C7               2        CAP-111-479-00,DTG
GND0                     C8               2        CAP-111-479-00,DTG
GND0                     C9               2        CAP-111-479-00,DTG
GND0                     C10              2        CAP-111-479-00,DTG
GND0                     C11              2        CAP-111-479-00,DTG
GND0                     C12              2        CAP-111-479-00,DTG
GND0                     C13              2        CAP-111-479-00,DTG
GND0                     C14              2        CAP             
GND0                     C15              2        CAP             
GND0                     C16              2        CAP             
GND0                     C17              2        CAP             
GND0                     C18              2        CAP             
GND0                     C19              2        CAP             
GND0                     C20              2        CAP             
GND0                     C21              2        CAP             
GND0                     C22              2        CAP             
GND0                     C23              2        CAP             
GND0                     C24              2        CAP             
GND0                     C25              2        CAP             
GND0                     C26              2        CAP             
GND0                     C27              2        CAP             
GND0                     C28              2        CAP             
GND0                     C29              2        CAP             
GND0                     GA1              9        SMC_FPGA-734-220-50,DTG
GND0                     GA1              17       SMC_FPGA-734-220-50,DTG
GND0                     GA1              26       SMC_FPGA-734-220-50,DTG
GND0                     GA1              34       SMC_FPGA-734-220-50,DTG
GND0                     GA1              56       SMC_FPGA-734-220-50,DTG
GND0                     GA1              65       SMC_FPGA-734-220-50,DTG
GND0                     GA1              74       SMC_FPGA-734-220-50,DTG
GND0                     GA1              81       SMC_FPGA-734-220-50,DTG
GND0                     GA1              89       SMC_FPGA-734-220-50,DTG
GND0                     GA1              100      SMC_FPGA-734-220-50,DTG
GND0                     GA1              106      SMC_FPGA-734-220-50,DTG
GND0                     GA1              118      SMC_FPGA-734-220-50,DTG
GND0                     GA1              128      SMC_FPGA-734-220-50,DTG
GND0                     GA1              137      SMC_FPGA-734-220-50,DTG
GND0                     J1               2        CONN2X5-359-591-10,DTG
GND0                     J1               10       CONN2X5-359-591-10,DTG
GND0                     K1               3        BSP123_E6327-752-355-00,DTG
GND0                     R24              2        PRES-636-700-00,DTG
GND0                     U1               4        FCT164245TSOIC-437-726-00,DTG
GND0                     U1               10       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               15       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               21       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               24       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               25       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               28       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               34       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               39       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               45       FCT164245TSOIC-437-726-00,DTG
GND0                     U1               48       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               1        FCT164245TSOIC-437-726-00,DTG
GND0                     U2               4        FCT164245TSOIC-437-726-00,DTG
GND0                     U2               10       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               15       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               21       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               24       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               25       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               28       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               34       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               39       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               45       FCT164245TSOIC-437-726-00,DTG
GND0                     U2               48       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               1        FCT164245TSOIC-437-726-00,DTG
GND0                     U3               4        FCT164245TSOIC-437-726-00,DTG
GND0                     U3               10       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               15       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               21       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               24       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               25       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               28       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               34       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               39       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               45       FCT164245TSOIC-437-726-00,DTG
GND0                     U3               48       FCT164245TSOIC-437-726-00,DTG
GND0                     U4               3        LP3891ESX-741-890-12,DTG
GND0                     U4               6        LP3891ESX-741-890-12,DTG
GND0                     U5               3        NC7SZ04P5X      
GND0                     U6               2        NC7WZ17-741-645-00,DTG
GND0                     U7               2        NC7WZ17-741-645-00,DTG
GND0                     U8               2        NC7WZ17-741-645-00,DTG
GND0                     U8               3        NC7WZ17-741-645-00,DTG
K1_ON_CNTRL              GA1              7        SMC_FPGA-734-220-50,DTG
K1_ON_CNTRL              TP27             1        TESTPOINT-359-537-00,DTG
